,Name,lat,long,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
0,Cabo San Lucas,22.89,-109.91,28.89,83,5,1603246391,5.7,MX
1,Sitka,57.05,-135.33,6.0,75,75,1603246656,1.58,US
2,East London,-33.02,27.91,14.16,66,0,1603246656,2.46,ZA
3,Sidi Ali,36.1,0.42,21.62,28,100,1603246656,7.56,DZ
4,Bathsheba,13.22,-59.52,28.0,78,40,1603246656,3.6,BB
5,Tuktoyaktuk,69.45,-133.04,-5.0,92,90,1603246656,7.2,CA
6,Punta Arenas,-53.15,-70.92,5.0,75,75,1603246657,2.6,CL
7,Rikitea,-23.12,-134.97,23.38,75,24,1603246657,4.16,PF
8,Mataura,-46.19,168.86,13.89,58,17,1603246657,4.92,NZ
9,Mocorito,25.48,-107.92,29.44,70,0,1603246657,1.34,MX
10,Ushuaia,-54.8,-68.3,5.0,75,40,1603246657,2.17,AR
11,Kieta,-6.22,155.63,29.36,67,99,1603246657,1.96,PG
12,Nemuro,43.32,145.57,14.0,54,20,1603246657,3.6,JP
13,Port Shepstone,-30.74,30.45,18.1,71,96,1603246657,4.15,ZA
14,Busselton,-33.65,115.33,21.67,38,0,1603246657,2.81,AU
15,Sibolga,1.74,98.78,29.51,64,47,1603246503,0.68,ID
16,Upernavik,72.79,-56.15,0.41,92,100,1603246658,1.28,GL
17,Puerto Baquerizo Moreno,-0.9,-89.6,20.6,87,51,1603246658,6.67,EC
18,Jamestown,42.1,-79.24,9.44,93,90,1603246599,3.1,US
19,Kismayo,-0.36,42.55,26.12,82,69,1603246658,5.78,SO
20,Hilo,19.73,-155.09,28.0,58,90,1603246366,3.6,US
21,Khatanga,71.97,102.5,-14.18,95,83,1603246658,3.81,RU
22,São Miguel do Iguaçu,-25.35,-54.24,25.0,73,0,1603246658,1.0,BR
23,Thompson,55.74,-97.86,-3.0,79,90,1603246658,1.0,CA
24,La Ronge,55.1,-105.28,-4.0,73,90,1603246659,2.1,CA
25,Grand Gaube,-20.01,57.66,23.89,72,0,1603246659,1.34,MU
26,Cidreira,-30.18,-50.21,20.49,93,97,1603246424,3.29,BR
27,Kapaa,22.08,-159.32,27.78,83,90,1603246659,4.1,US
28,Udachny,66.42,112.4,-16.0,84,90,1603246659,1.0,RU
29,Saint George,37.1,-113.58,24.0,11,1,1603246624,2.1,US
30,Ostrovskoye,57.81,42.24,-1.43,97,17,1603246659,4.2,RU
31,Kandrian,-6.22,149.55,29.68,66,91,1603246659,3.01,PG
32,Cockburn Town,21.46,-71.14,27.63,79,89,1603246537,6.67,TC
33,Bethel,41.37,-73.41,15.56,97,54,1603246659,0.26,US
34,Vaini,-21.2,-175.2,24.0,69,75,1603246660,3.1,TO
35,Bluff,-46.6,168.33,13.89,58,50,1603246660,4.92,NZ
36,Yellowknife,62.46,-114.35,-6.0,79,20,1603246660,4.1,CA
37,Forio,40.73,13.86,16.0,76,8,1603246660,1.0,IT
38,Butaritari,3.07,172.79,27.99,73,46,1603246511,4.63,KI
39,Kupang,-10.17,123.58,33.0,59,40,1603246660,3.6,ID
40,Mar del Plata,-38.0,-57.56,11.11,87,0,1603246660,2.6,AR
41,Alta Floresta,-9.88,-56.09,25.41,62,0,1603246660,0.16,BR
42,Bredasdorp,-34.53,20.04,5.0,93,0,1603246660,1.0,ZA
43,Port Alfred,-33.59,26.89,13.06,76,0,1603246660,3.49,ZA
44,Betong,5.77,101.07,27.7,77,52,1603246661,0.21,TH
45,Juneau,58.3,-134.42,4.44,86,75,1603246378,1.5,US
46,Albany,42.6,-73.97,13.33,84,100,1603246503,0.45,US
47,Kaitangata,-46.28,169.85,13.79,47,57,1603246661,1.19,NZ
48,Shimoda,34.67,138.95,19.0,55,20,1603246661,9.8,JP
49,Victoria Point,-27.58,153.3,26.67,47,75,1603246661,5.1,AU
50,Linfen,36.09,111.52,15.1,26,0,1603246661,2.64,CN
51,Stepnogorsk,52.35,71.89,6.27,55,90,1603246661,4.86,KZ
52,Torbay,47.67,-52.73,15.0,93,90,1603246662,8.7,CA
53,Arraial do Cabo,-22.97,-42.03,22.48,85,0,1603246539,9.26,BR
54,Quatre Cocos,-20.21,57.76,23.89,83,40,1603246662,4.6,MU
55,Kiryat Gat,31.61,34.76,22.78,100,18,1603246382,0.45,IL
56,Atuona,-9.8,-139.03,25.54,75,79,1603246511,6.76,PF
57,Collie,-33.37,116.15,21.67,38,15,1603246662,3.4,AU
58,Kachug,53.96,105.88,-1.71,87,87,1603246662,2.13,RU
59,Avarua,-21.21,-159.78,24.0,88,100,1603246662,3.6,CK
60,Sinnamary,5.38,-52.95,26.73,80,100,1603246662,5.66,GF
61,Goba,7.02,39.98,10.11,73,89,1603246663,0.84,ET
62,Chepareria,1.31,35.2,16.27,81,89,1603246663,1.04,KE
63,Severo-Kuril'sk,50.68,156.12,5.89,65,59,1603246663,12.84,RU
64,San Matías,-16.37,-58.4,25.15,79,99,1603246663,0.3,BO
65,Conceição do Araguaia,-8.26,-49.26,28.15,50,98,1603246663,1.63,BR
66,Hasaki,35.73,140.83,20.0,49,40,1603246663,5.7,JP
67,General Pico,-35.66,-63.76,10.38,54,1,1603246373,4.22,AR
68,Taganak,6.08,118.3,31.0,66,20,1603246663,4.1,PH
69,Mwense,-10.38,28.7,22.43,75,100,1603246664,2.8,ZM
70,Xiongzhou,25.12,114.3,20.89,62,6,1603246664,3.46,CN
71,Karmāla,18.42,75.2,23.41,85,53,1603246664,0.38,IN
72,Santa Isabel Rio Negro,-0.41,-65.02,25.42,81,74,1603246664,1.5,BR
73,Pacific Grove,36.62,-121.92,16.67,87,1,1603246640,1.5,US
74,College,64.86,-147.8,-5.0,79,90,1603246664,0.45,US
75,Bengkulu,-3.8,102.27,28.97,64,35,1603246664,0.88,ID
76,Merauke,-8.47,140.33,30.13,64,15,1603246214,4.91,ID
77,Saskylakh,71.92,114.08,-6.79,97,91,1603246664,3.81,RU
78,Kapit,2.02,112.93,31.26,57,96,1603246664,0.77,MY
79,Norman Wells,65.28,-126.83,-6.0,92,90,1603246665,6.7,CA
80,Hong Kong,22.29,114.16,25.56,66,55,1603246597,1.34,HK
81,Ibanda,-2.8,32.47,19.31,85,99,1603246665,1.48,TZ
82,Clifton,40.86,-74.16,17.78,93,90,1603246514,3.1,US
83,Fulton,33.77,-84.45,20.0,93,1,1603246665,2.95,US
84,Hermanus,-34.42,19.23,10.56,85,0,1603246665,1.34,ZA
